year_month,state,unemployment_rate
2009-05,AL,9.4
2009-06,AL,9.7
2009-07,AL,10.0
2009-08,AL,10.3
2009-09,AL,10.5
2009-10,AL,10.7
2009-11,AL,10.9
2009-12,AL,11.0
2010-01,AL,11.0
2010-02,AL,11.0
2010-03,AL,10.9
2010-04,AL,10.5
2010-05,AL,10.3
2010-06,AL,10.2
2010-07,AL,10.1
2010-08,AL,10.1
2010-09,AL,10.1
2010-10,AL,10.1
2010-11,AL,10.1
2010-12,AL,10.1
2011-01,AL,10.1
2011-02,AL,10.0
2011-03,AL,9.9
2011-04,AL,9.9
2011-05,AL,9.8
2011-06,AL,9.8
2011-07,AL,9.7
2011-08,AL,9.5
2011-09,AL,9.3
2011-10,AL,9.1
2011-11,AL,8.9
2011-12,AL,8.7
2012-01,AL,8.6
2012-02,AL,8.5
2012-03,AL,8.4
2012-04,AL,8.4
2012-05,AL,8.4
2012-06,AL,8.3
2012-07,AL,8.2
2012-08,AL,8.1
2012-09,AL,7.9
2012-10,AL,7.8
2012-11,AL,7.8
2012-12,AL,7.7
2013-01,AL,7.7
2013-02,AL,7.6
2013-03,AL,7.5
2013-04,AL,7.4
2013-05,AL,7.3
2013-06,AL,7.3
2013-07,AL,7.3
2013-08,AL,7.3
2013-09,AL,7.3
2013-10,AL,7.2
2013-11,AL,7.2
2013-12,AL,7.2
2014-01,AL,7.2
2014-02,AL,7.1
2014-03,AL,7.1
2014-04,AL,7.0
2014-05,AL,6.9
2014-06,AL,6.9
2014-07,AL,6.8
2014-08,AL,6.7
2014-09,AL,6.6
2014-10,AL,6.4
2014-11,AL,6.3
2014-12,AL,6.2
2015-01,AL,6.2
2015-02,AL,6.1
2015-03,AL,6.1
2015-04,AL,6.1
2015-05,AL,6.1
2015-06,AL,6.1
2015-07,AL,6.1
2015-08,AL,6.1
2015-09,AL,6.1
2015-10,AL,6.0
2015-11,AL,6.0
2015-12,AL,6.0
2016-01,AL,5.9
2016-02,AL,5.9
2016-03,AL,5.9
2016-04,AL,5.8
2016-05,AL,5.8
2016-06,AL,5.8
2016-07,AL,5.8
2016-08,AL,5.8
2016-09,AL,5.8
2016-10,AL,5.8
2016-11,AL,5.7
2016-12,AL,5.6
2017-01,AL,5.4
2017-02,AL,5.2
2017-03,AL,5.0
2017-04,AL,4.8
2017-05,AL,4.6
2017-06,AL,4.5
2017-07,AL,4.3
2017-08,AL,4.2
2017-09,AL,4.1
2017-10,AL,4.0
2017-11,AL,4.0
2017-12,AL,4.0
2018-01,AL,4.0
2018-02,AL,4.0
2018-03,AL,4.0
2018-04,AL,4.0
2018-05,AL,4.0
2018-06,AL,4.0
2018-07,AL,3.9
2018-08,AL,3.9
2018-09,AL,3.9
2018-10,AL,3.8
2018-11,AL,3.8
2018-12,AL,3.8
